Date,EqualWeight,Markowitz,BlackLitterman
2025-05-19,-0.06779011037166705,-0.10312892984795918,-0.07586991011553479
2025-05-20,-0.07380301328929328,-0.11053201729616968,-0.0827453334306889
2025-05-21,-0.08310154899673294,-0.11960520709034028,-0.08916542158555762
2025-05-22,-0.07607004813344598,-0.114461104023457,-0.08346143901647873
2025-05-23,-0.08880519906323403,-0.13057048989379194,-0.09808402502649538
2025-05-27,-0.05941688162648673,-0.10332600212054743,-0.07341979275660193
2025-05-28,-0.06415333096390607,-0.10672544170062692,-0.0776630365145572
2025-05-29,-0.05860665381733321,-0.10142903968746719,-0.07713229629193707
2025-05-30,-0.0659590254710366,-0.10830914183216289,-0.07728899322415772
2025-06-02,-0.06037166234999991,-0.10770637338576106,-0.07810771655207993
2025-06-03,-0.05834955524254648,-0.10274030443010185,-0.07949427477202464
2025-06-04,-0.05572978116659488,-0.10345393456853325,-0.07799516404041118
2025-06-05,-0.07723070912922447,-0.12198450186662213,-0.08489880545563755
2025-06-06,-0.05744892614975605,-0.10420535448294266,-0.06728228201780495
2025-06-09,-0.04792598756184585,-0.09928895890827294,-0.06100483212975827
2025-06-10,-0.03467479987796118,-0.08767705858504782,-0.05430511107309621
2025-06-11,-0.043134625112353886,-0.09659816214022954,-0.06191498104001325
2025-06-12,-0.043426363229779774,-0.09589149381902384,-0.060539284001391414
2025-06-13,-0.050228331733428,-0.10445804493242439,-0.06724462430726741
2025-06-16,-0.03535855396097931,-0.09333559092333266,-0.05661805432515754
2025-06-17,-0.04591481992257063,-0.10357064969924701,-0.06452557259640046
2025-06-18,-0.044672678533410726,-0.10114247023668399,-0.06558207498845858
2025-06-20,-0.0536033100554103,-0.10400719196358799,-0.07187239007738011
2025-06-23,-0.03815832184017631,-0.09524179749657502,-0.06413039995720438
2025-06-24,-0.030657536427042276,-0.09193704955549997,-0.05955470554222597
2025-06-25,-0.026374777810938888,-0.08015618745970954,-0.05418304136840957
2025-06-26,-0.01629578956087918,-0.07635634750726283,-0.04518078724365426
2025-06-27,-0.00561896964277786,-0.06783580618319673,-0.03641235414874222
2025-06-30,-0.008166705359165083,-0.06477204901551958,-0.036619900542082084
2025-07-01,-0.022875026060651393,-0.07271548663677119,-0.039544298036153
2025-07-02,-0.008728088950735735,-0.05225350828385067,-0.0288504293024886
2025-07-03,0.0,-0.04541156436021765,-0.019431322278626317
2025-07-07,-0.015687280543130955,-0.06293205785076639,-0.03148992914062365
2025-07-08,-0.01660737762357556,-0.062470981056711894,-0.03685994645085544
2025-07-09,-0.0060659386360951695,-0.05378099377831591,-0.02681172918038588
2025-07-10,0.0,-0.044721884312381666,-0.0229039147527077
2025-07-11,0.0,-0.04120407525209435,-0.017687923797967242
2025-07-14,0.0,-0.043815476008422505,-0.018198492069469108
2025-07-15,0.0,-0.035899214361062914,-0.015976867137034945
2025-07-16,0.0,-0.028695005161955334,-0.013587255603056403
2025-07-17,0.0,-0.025877518324026294,-0.009141718158943712
2025-07-18,0.0,-0.019871516244326592,-0.003802656725144793
2025-07-21,0.0,-0.013253650338056477,0.0
2025-07-22,-0.003945698348105209,-0.01347239090151875,0.0
2025-07-23,0.0,-0.01034536743008796,-0.0006597460917561193
2025-07-24,-0.0039126827463723535,-0.012730348189578189,0.0
2025-07-25,0.0,-0.007481848295596949,0.0
2025-07-28,0.0,-0.0011406270346120406,0.0
2025-07-29,-0.007014652657196585,-0.005084839807476871,-0.001346239479148803
2025-07-30,-0.007143726126169425,-0.004217404915101031,-0.003566573699986142
2025-07-31,0.0,-0.01334825112236615,0.0
2025-08-01,-0.030236492388994507,-0.03394524013657996,-0.02774613124815095
2025-08-04,-0.011283260871528977,-0.014001791533729713,-0.013455425341705185
2025-08-05,-0.01648972507106894,-0.0187495509568536,-0.01787113131812368
2025-08-06,0.0,0.0,0.0
2025-08-07,0.0,0.0,0.0
2025-08-08,0.0,0.0,0.0
2025-08-11,0.0,-0.0013375965022248693,-0.002020366823870634
2025-08-12,0.0,0.0,0.0
2025-08-13,-0.0026550151212446638,0.0,-0.001071270758817966
2025-08-14,0.0,-0.00010900357150211981,0.0
2025-08-15,-0.0034582060080456944,-0.00470860264966011,-0.002477967519759483
2025-08-18,-0.004750755457480715,-0.003599760311848721,-0.004541659182024094
2025-08-19,-0.020856874782460677,-0.016630860416987026,-0.014652099229591986
2025-08-20,-0.03205550025650594,-0.028954439599400805,-0.028057083292939544
2025-08-21,-0.03730675718852383,-0.03203127994598898,-0.030956354517482798
2025-08-22,-0.012273161449319336,-0.010349918220563858,-0.011431590070874798
2025-08-25,-0.00848369472718502,-0.005204361722057738,-0.010807306049192555
2025-08-26,-0.004438960097875033,0.0,-0.010003967054793339
2025-08-27,-0.004124795060223896,0.0,-0.005419029580511214
2025-08-28,0.0,0.0,0.0
2025-08-29,-0.013941510304988025,-0.010412066781683604,-0.004489973904007072
2025-09-02,-0.02446712678675178,-0.021516078631612534,-0.01273947957411814
2025-09-03,-0.0037219657041255294,0.0,0.0
2025-09-04,0.0,0.0,0.0
2025-09-05,-0.002012979131259085,-0.0018113697637195392,-0.005617916312562254
2025-09-08,-0.001200989103460115,-0.004398252914283973,-0.004825780836189564
2025-09-09,0.0,-0.0013189181347743606,-0.0015818538158486328
2025-09-10,-0.005789751907965379,-0.005043055692934062,-0.01339070143105947
2025-09-11,0.0,0.0,-0.005112501628519062
2025-09-12,0.0,0.0,0.0
2025-09-15,0.0,0.0,0.0
2025-09-16,0.0,0.0,0.0
2025-09-17,-0.004545798368086218,-0.004335909078110212,-0.0008066172627426704
2025-09-18,-0.0016681905729949431,0.0,-0.0021391871169388343
2025-09-19,0.0,0.0,0.0
2025-09-22,0.0,0.0,0.0
